Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
0,1,보험을 해약하면 해약환급금은 다 나오나요?,보험 환급,1
1,2,보험을 해약하려면 어떻게 해야 하나요?,보험 해지,4
2,3,가족 말고 다른사람이 가도 해약 가능한가요?,보험 해지,4
5,6,어떤 서류가 필요하나요?,보험 서류,14
6,7,서류를 가지고 어디로 가야하나요?,보험 서류,14
8,9,혹시 서류준비하다 다시 궁금한 점이 있으면 어떻게 하나요?,보험금,3
9,10,가입한 보험을 해약하고 싶은데 어떻게 해야하나요?,보험 가입,0
10,11,어떤 방법으로 보험해약을 할 수 있나요?,보험 해지,4
11,12,고객프라자로 가면 준비해야할 서류는 무엇이 있나요?,보험 서류,14
16,17,배우자가 가게 되면 어떤 서류가 필요한가요?,보험 서류,14
18,19,혹시 보험 해약시 해약환급금은 얼마인지 알 수 있나요?,보험 환급,1
19,20,서류를 준비하는 중에 궁금한 것이 있으면 어떻게 하면 되나요?,보험금,3
20,21,보험을 해약하면 해지환급금은 얼마나 되나요?,보험 환급,1
23,24,보험이 2건 있는데 2건 다 해지하길 원하십니까?,보험 해지,4
24,25,해지하면 바로 입금이 되나요?,보험금,3
25,26,해지하시겠습니까?,보험 해지,4
28,29,화재보험 해약하고 싶은데 될까요?,보험 해지,4
29,30,화재보험을 해약하고 싶습니다.,보험 해지,4
30,31,보험을 해약하면 해지환급금은 얼마나 되나요?,보험 환급,1
31,32,해지하면 바로 입금이 되나요?,보험금,3
32,33,화재보험 해약하고 싶은데 될까요?,보험 해지,4
33,34,화재보험을 해약하고 싶습니다.,보험 해지,4
34,35,보험을 해약하면 해지환급금은 얼마나 되나요?,보험 환급,1
35,36,해지하면 바로 입금이 되나요?,보험금,3
36,37,화재보험을 해약하고 싶습니다.,보험 해지,4
37,38, 보험해약하고 싶은데요?,보험 해지,4
38,39, 종신보험해약 가능할까요?,보험 해지,4
39,40, 3년이나 되었는데 해약할까요?,보험 해지,4
40,41, 해약환급금얼마죠?,보험 환급,1
42,43, 그럼원금되려면 얼마나 더 부어야 하죠?,보험금,3
43,44, 해약할까요?,보험 해지,4
44,45, 그럼 일년후 얼마환급받아요?,보험 환급,1
46,47, 그럼 일년후 해약해야 겠네요?,보험 해지,4
47,48,보험금 청구 하려고요?,보험금,3
54,55,청구할 때 어떤 서류가 필요한가요?,보험 청구,8
56,57,언제 것부터 청구가 가능한가요?,보험 청구,8
58,59,차량사고시 수리후 나중에 청구해도 되나요?,보험 청구,8
60,61,필요한  서류 준비는 어떻게 해야 할까요?,보험 서류,14
61,62,그럼 보험사고가 접수되면 사고에 따른 보험금 청구절차는 어떻게 되나요? ,보험금,3
73,74,상호 합의가 안되는 경우 보상처리는 어떻게 받나요,보험 보장,7
74,75,과실상계 처리가 많으면 보상이 적어지나요,보험 보장,7
75,76,이런 경우는 가해자 보험사에서 지급보상 해주는거 아니예요?,보험 보장,7
