Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
59,60,보험사에 통보안하고 수리해도 될까요,기타,999
62,63,조사는 보험회사 내부적으로 실시되나요,기타,999
63,64,사고 발생하면 어느 경우에 손해사정사에 의한 조사를 받게 되나요?,보험 내용,10
64,65,보험사고의 의의는 뭐지요?,보험 내용,10
65,66,보험사고는 무엇을 기준으로하여 정하나요,보험 내용,10
66,67,교통사고시 최신치료장비로 치료 받아도 되나요,기타,999
67,68,본인이 원하는 병원에서 치료받을수 있나요,보험 내용,10
68,69,사고처리비용은 상대방이 모두 부담하나요,보험 내용,10
69,70,그럼 비용 처리는 어떻게 된다는 말이죠?,기타,999
78,79,치료비는 상대방이 부담하나요,기타,999
79,80,그럼 비용 처리는 어떻게 된다는 말이죠?,기타,999
95,96,그럼 처방전은 스캔해야 하나요?,기타,999
97,98,혹시 계좌를 변경할 수도 있나요?,기타,999
101,102,치료비도 3군데에서 다 받을수 있나요?,기타,999
102,103,실손보험이 두군데면 중복으로 받나요?,기타,999
108,109,인대가 다쳐도 골절진단 받나요?,기타,999
109,110,깁스를 하는건 똑같은거 아닌가요?,기타,999
112,113,골절수술특약과 종수술 특약이 있으면 둘다 받을수 있나요?,특별 약관,5
113,114,특약이 다른건가요?,특별 약관,5
118,119,검사를 했는데 이상이 없으면 어떡게 되나요?,기타,999
123,124,발바닥 무좀 치료도 보험처리가 되나요?,기타,999
127,128,그럼 치료비만 받을수 있나요?,기타,999
128,129,무좀은 발이나 손이나 상관없나요?,기타,999
138,139,한도가 150만원이면 75만원 받을수 있는거죠?,기타,999
140,141,아 그럼 차를 먼저 수리 해도 되는거네요?,기타,999
144,145,보험사고 조사는 보험회사 내부적으로 실시되는것인가요?,기타,999
145,146,사고 발생하면 어느 경우에 손해사정사에 의한 조사를 받게 되나요?,기타,999
146,147,보험사고의 의의는 뭐지요?,기타,999
148,149,교통사고시 MRI 검사비용은 보험처리가 되나요?,기타,999
149,150,교통사고 후 병원진료를 잘 받기 위해 특별진료 또는 병원을 종합병원에서 진료 받기를 원하는데 가능할까요?,기타,999
150,151,무조건 사고 처리는 상대방 보험에서 처리되는 아닌가요??,기타,999
151,152,그럼 비용 처리는 어떻게 된다는 말이죠?,기타,999
152,153,4인실이상에서 치료를 받으라고 하는데 종요한 1인실에서 입원치료를 받고 싶은데요?,기타,999
162,163,"어머니의 극단적인 선택으로 돌아가셨는데요,?",기타,999
163,164,"제가 잘 몰라서 그런데요,상해보험은 정확히 어떤건가요?",보험 문의,15
193,194,레진을 4개나 했는데 그 비용이 다 나오지도 않은 것 같아요.,기타,999
213,214,처리 결과는 얼마나 걸려요?,기타,999
279,280,골절이면 저는 얼마나 나오나요?,기타,999
280,281,제가 실비보험도 있는데 실비에서도 나오나요?,기타,999
284,285,제 보험에 골절 진단비는 얼마가  나오죠?,기타,999
290,291,그럼 수술비나 입원비는 받을수 없나요?,기타,999
291,292,그럼 진료차트를 확인해봐야겠네요?,기타,999
295,296,그럼 실비 처리 가능한건가요?,기타,999
299,300,혹시 실비 상해보험 중복되나요?,기타,999
304,305,앞니 부러진것두 상해보험 가능해요?,기타,999
305,306,골절진단비가 있으면 되는거 아닌가요?,기타,999
